positions,gain colours,directions,wheelSpeed,brakes,steering,throttle
"[-0.0002721993514569476, -9.617516860365868, 0.22871942329220474]",K1,"[-0.000367861648555845, 0.9999593496322632, 0.009007737971842289]",2.287347075527884,0.0,4.178437055630912,0.27816798774241125
"[-0.0013026269152760506, -9.494877992197871, 0.22921639058040455]",K1,"[-0.0010116625344380736, 0.9999542236328125, 0.009514294564723969]",1.8935138939998497,0.0,3.9828492623609892,0.26867286761293285
"[-0.001538620093924692, -9.328916110098362, 0.22619297250639647]",K1,"[-0.0006184656522236764, 0.9998993277549744, 0.014178168028593063]",2.2511908393195217,0.0,4.022148257681287,0.27090017277499506
"[-0.0021648186375387013, -9.168566312640905, 0.2239252328290604]",K1,"[-0.001218130229972303, 0.99986732006073, 0.016243694350123405]",2.5990020423416498,0.0,4.053301249078801,0.26795773070121387
"[-0.002917731886554975, -8.934474885463715, 0.2219178467639722]",K1,"[-0.0015108080115169287, 0.9998547434806824, 0.016975123435258865]",2.9521217957723414,0.0,3.998600045557764,0.2650120227978551
"[-0.004508168378379196, -8.661242995411158, 0.22087516549800057]",K1,"[-0.0022640221286565065, 0.9998481273651123, 0.017279619351029396]",3.4431231175386294,0.0,3.9872765357168816,0.2618792047205648
"[-0.006443348858738318, -8.350736506283283, 0.22009858582168818]",K1,"[-0.0027149051893502474, 0.9998524188995361, 0.016963759437203407]",3.8180778277211753,0.0,3.931758617214636,0.25759813033011364
"[-0.008622724824817851, -8.006403528153896, 0.2193472404323984]",K1,"[-0.003072024555876851, 0.9998663067817688, 0.016064314171671867]",4.2403065535794076,0.0,3.9170175120972344,0.2541648757807289
"[-0.011052062502130866, -7.626336306333542, 0.2187259727277251]",K1,"[-0.003536974312737584, 0.9998839497566223, 0.014820260927081108]",4.70983583844518,0.0,3.919309295579972,0.2502538586748751
"[-0.013150512299034745, -7.297743737697601, 0.21823050910097663]",K1,"[-0.004113510251045227, 0.9998843669891357, 0.014635587111115456]",4.991441299617277,0.0,3.904305045941994,0.2460226504450255
"[-0.016184863459784538, -6.851983360946178, 0.21776786429836648]",K1,"[-0.004920034669339657, 0.9998748898506165, 0.015034416690468788]",5.570482451791658,0.0,3.8645043273841373,0.2435071136554821
"[-0.0190705832792446, -6.4706287905573845, 0.21785845221893396]",K1,"[-0.00547888595610857, 0.9998677968978882, 0.01531211193650961]",5.885531260565029,0.0,3.8171953992432295,0.23834822171272407
"[-0.023319953063037246, -5.959092155098915, 0.2181999528547749]",K1,"[-0.006264827214181423, 0.9998610615730286, 0.015446587465703487]",6.247918570672786,0.0,3.8147891629575343,0.23517291242622274
"[-0.028420294052921236, -5.4154102727770805, 0.218567095889739]",K1,"[-0.007154913153499365, 0.9998648762702942, 0.014797892421483994]",6.654700880832265,0.0,3.7708995930574227,0.23181147902351862
"[-0.034303715568967164, -4.840651944279671, 0.21865672620788246]",K1,"[-0.008059235289692879, 0.9998753666877747, 0.013571609742939472]",7.050490610455049,0.0,3.700668869920886,0.22825576296738034
"[-0.040843378053978086, -4.234911262989044, 0.21851637679355917]",K1,"[-0.009038328193128109, 0.999884843826294, 0.012191944755613804]",7.308246481927451,0.0,3.648766405713768,0.224586019863568
"[-0.048112471122294664, -3.603581890463829, 0.2182080076308921]",K1,"[-0.009913667105138302, 0.9998916387557983, 0.01088361069560051]",7.6089682724005865,0.0,3.6460183046066423,0.221475190391191
"[-0.05618753400631249, -2.9462960064411163, 0.21786300475650933]",K1,"[-0.010840483009815216, 0.9998934864997864, 0.009775153361260891]",7.981721081750578,0.0,3.383053334895909,0.22086041109210974
"[-0.06509907206054777, -2.2620985954999924, 0.21757160200650105]",K1,"[-0.01164813619107008, 0.9998921751976013, 0.008949742652475834]",8.241334776861995,0.0,3.3343541687216516,0.21732392366508066
